Word	uniqueID	WordContext	N_Ratings	Level1	N_noSize	N_notKnow	N_noRange	RangeStart_mean	RangeEnd_mean	RangeLength_mean	Size_mean	RangeStart_SD	RangeEnd_SD	RangeLength_SD	Size_SD
blueberry	blueberry	blueberry	46	1.304347826	0	0	0	134.4782609	149.326087	14.84782609	141.9021739	15.48868997	16.14662586	9.573034794	15.07964764
boa	boa	boa (feather boa)	47	3.756097561	1	5	1	233.97560980000003	255.4390244	21.46341463	244.7073171	31.95738397	30.40398722	15.53077197	30.20823059
boar	boar	boar	44	5.093023256	0	1	1	284.48837210000005	306.04651160000003	21.55813953	295.2674419	25.51038266	26.99113919	13.98179484	25.31359244
board	board	board (wooden board)	49	4.534883721	6	0	0	261.6744186	293.0	31.3255814	277.33720930000004	29.5584336	32.26305568	23.98880784	28.52081966
board game	board_game	board game	45	4.113636364	1	0	1	244.9772727	262.5227273	17.54545455	253.75	16.87366	14.65968786	12.73423247	14.46627996
boat	boat	boat	45	6.911111111	0	0	1	348.44444439999995	400.6444444	52.2	374.5444444	27.84009172	33.11354814	35.63616651	24.86573542
bobsled	bobsled	bobsled	47	5.2826086960000005	0	1	1	295.0434783	314.06521739999994	19.02173913	304.5543478	24.05822245	26.16308016	10.12475323	24.61757012
bok choy	bok_choy	bok choy	48	3.225806452	4	13	0	209.3548387	228.0	18.64516129	218.6774194	24.04654984	23.42648074	9.88112135	23.21872391
bolo tie	bolo_tie	bolo tie	45	2.911764706	2	10	1	191.3235294	211.7352941	20.41176471	201.5294118	30.60275348	26.23357648	14.26824753	27.59472424
bologna	bologna	bologna	43	2.666666667	1	6	0	192.8333333	215.2222222	22.38888889	204.0277778	22.87543911	22.5504021	15.27327784	21.39123467
bolt	bolt	bolt (screw)	48	1.541666667	0	0	0	135.875	163.70833330000002	27.83333333	149.79166669999998	22.36888511	25.85224657	22.69533023	21.34439817
bomb	bomb	bomb	48	3.619047619	6	0	0	216.3571429	264.9285714	48.57142857	240.6428571	41.25046721	43.93975524	36.43245863	38.52688097
bone	bone	bone	47	3.048780488	6	0	1	182.3414634	232.0731707	49.73170732	207.2073171	42.37370043	31.03497241	38.91338098	31.6352208
bongo	bongo	bongo (musical instrument)	45	4.227272727	0	1	0	250.7272727	273.2954545	22.56818182	262.0113636	23.55830337	17.32665583	18.86228885	18.40263146
bonnet	bonnet	bonnet	45	3.545454545	0	1	1	216.8636364	235.2272727	18.36363636	226.0454545	29.10173887	27.07857957	10.30712309	27.63188632
bonsai	bonsai	bonsai	45	3.87804878	1	3	0	221.0	252.4634146	31.46341463	236.73170730000004	38.53829265	32.77735313	25.44218697	33.43577754
book	book	book	44	3.522727273	0	0	0	218.25	240.0909091	21.84090909	229.1704545	21.94191592	15.55458234	18.78265303	16.53781543
bookmark	bookmark	bookmark	42	2.69047619	0	0	0	179.88095239999998	198.1190476	18.23809524	189.0	28.31116507	28.97619071	11.06479701	28.10628781
bookshelf	bookshelf	bookshelf	47	5.340425532	0	0	0	291.0425532	321.0638298	30.0212766	306.0531915	25.4395767	28.44246997	19.68169461	25.12430705
boomerang	boomerang	boomerang	48	3.804347826	1	1	1	226.8043478	247.3695652	20.56521739	237.0869565	20.54439049	13.14425721	13.72694378	15.82133031
boot	boot	boot	50	3.74	0	0	0	231.84	248.4	16.56	240.12	10.89159946	9.845749109	9.158825341	9.317286984
bottle	bottle	bottle	44	3.441860465	1	0	0	211.0930233	235.0	23.90697674	223.0465116	23.65406836	12.1380943	17.35458489	16.67719214
bottle opener	bottle_opener	bottle opener	46	2.673913043	0	0	1	185.7826087	203.5	17.7173913	194.6413043	33.37524901	29.65711457	12.37499817	30.95869346
boulder	boulder	boulder	45	5.488372093	2	0	0	298.372093	346.0930233	47.72093023	322.2325581	35.10462136	36.72083485	28.24748247	33.02873007
bouquet	bouquet	bouquet	48	3.760869565	2	0	0	232.8043478	254.2608696	21.45652174	243.5326087	14.86325755	15.6694108	15.67263223	13.10784421
bow	bow1	bow (shoe knot)	46	1.6739130430000002	0	0	0	148.5217391	166.2608696	17.73913043	157.3913043	23.60954527	21.67685379	10.2489778	22.07686397
bow	bow2	bow (weapon)	45	4.545454545	1	0	0	265.7727273	283.0	17.22727273	274.38636360000004	19.19285676	18.7951008	13.37972023	17.77797947
bow	bow3	bow (decoration)	41	2.783783784	3	1	0	185.4594595	213.7837838	28.32432432	199.6216216	19.89778686	19.98490421	21.72435149	16.72340567
bowl	bowl	bowl	45	3.5111111110000004	0	0	0	210.7333333	239.1777778	28.44444444	224.9555556	20.376457	12.66220017	19.84548902	13.75880801
bowler hat	bowler_hat	bowler hat	44	3.761904762	0	2	1	227.0	242.1904762	15.19047619	234.5952381	13.31787722	11.26886082	11.83265035	10.82467715
bowling ball	bowling_ball	bowling ball	46	3.826086957	0	0	1	234.4130435	249.3695652	14.95652174	241.8913043	13.98503341	7.978745921	10.95233414	9.981601432
bowtie	bowtie	bowtie	45	2.674418605	0	2	1	184.4651163	202.2093023	17.74418605	193.3372093	21.16865252	22.73926554	12.62479236	21.04154647
box	box	box	46	3.925	6	1	0	219.075	289.05	69.975	254.0625	34.93245314	32.4850656	44.83158656	25.20535848
boxer shorts	boxer_shorts	boxer shorts	44	3.906976744	1	0	0	235.5116279	252.0232558	16.51162791	243.7674419	16.19284394	13.96336767	9.072123952	14.42276179
boxing gloves	boxing_gloves	boxing gloves	40	3.675	0	0	0	227.2	242.675	15.475	234.9375	15.60769041	13.88854444	10.89574723	13.73195202
boy	boy	boy	44	5.073170732	3	0	0	285.2439024	310.3902439	25.14634146	297.8170732	19.49715426	12.73946241	18.56819993	13.60227743
bra	bra	bra	47	3.622222222	2	0	1	221.0444444	236.8222222	15.77777778	228.9333333	22.09993373	20.18019832	8.1432875	20.76645022
brace	brace	brace	45	3.114285714	5	5	1	199.0857143	222.3714286	23.28571429	210.7285714	44.61823119	45.92070257	15.25194574	44.62727056
bracelet	bracelet2	bracelet	43	2.595238095	1	1	2	179.1428571	197.5238095	18.38095238	188.3333333	21.17012556	17.78494581	12.34059804	18.55172948
bracelet	bracelet1	bracelet (wristband)	49	2.530612245	0	0	0	176.2244898	195.91836730000003	19.69387755	186.0714286	21.24094445	20.78544837	12.43852229	20.0730437
bracket	bracket	bracket	47	2.333333333	2	6	0	163.97435900000002	189.5384615	25.56410256	176.7564103	36.19427636	37.79086924	19.42027545	35.7043547
braid	braid	braid	45	3.125	12	1	0	198.90625	219.125	20.21875	209.015625	34.03447908	36.32891854	18.59888026	33.94979319
brake	brake	brake	49	3.243243243	8	4	0	206.1351351	229.8108108	23.67567568	217.972973	18.80183526	22.25962693	16.87215664	18.79714294
branch	branch	branch	47	4.261904762	4	1	1	249.0952381	294.0	44.9047619	271.547619	43.67943621	41.58388525	33.85464591	39.14105348
brass knuckles	brass_knuckles	brass knuckles	47	2.913043478	0	1	2	194.6304348	209.5652174	14.93478261	202.0978261	16.53462185	14.57494376	9.689403545	14.81351469
bread	bread	bread	45	3.659090909	1	0	0	222.6590909	241.5681818	18.90909091	232.1136364	12.92544486	11.8721831	13.54032424	10.40061695
breadbox	breadbox	breadbox	44	3.928571429	1	1	1	240.2619048	255.452381	15.19047619	247.8571429	15.645554999999998	10.56271025	9.630333417	12.44954976
breadstick	breadstick	breadstick	46	2.956521739	0	0	2	200.71739130000003	220.0869565	19.36956522	210.4021739	27.72617139	22.09959888	12.87609101	24.23051785
breakfast	breakfast	breakfast	43	3.192307692	16	1	0	204.0	235.1923077	31.19230769	219.5961538	24.73539973	9.499554645	23.00611959	14.78919824
breathalyzer	breathalyzer	breathalyzer	47	3.0	2	2	0	198.58139530000005	221.3023256	22.72093023	209.9418605	26.15451573	20.61499094	17.36351619	21.88938896
brick	brick	brick	45	3.422222222	0	0	1	217.0666667	240.0222222	22.95555556	228.5444444	18.86844408	16.29206289	18.2233062	15.08981528
briefcase	briefcase	briefcase	41	4.0	0	0	1	247.8292683	266.39024390000003	18.56097561	257.1097561	11.92036585	14.31236886	10.69824467	12.03563054
broccoli	broccoli	broccoli	45	2.476190476	3	0	1	175.83333330000002	200.6666667	24.83333333	188.25	32.2338382	27.60051844	18.51817389	28.54249079
brooch	brooch	brooch	42	1.9	0	2	1	151.5	177.775	26.275	164.6375	20.11505368	16.48696066	15.05543177	16.77948515
broom	broom	broom	46	4.4130434780000005	0	0	0	260.0652174	279.5434783	19.47826087	269.8043478	34.26848385	31.53319698	14.11813512	32.16372668
brownie	brownie	brownie	48	2.695652174	2	0	0	182.9347826	200.5434783	17.60869565	191.7391304	13.13587484	12.29581053	10.05424899	11.68747627
brush	brush	brush (hair)	46	3.282608696	0	0	1	206.3478261	225.21739130000003	18.86956522	215.7826087	17.40270399	14.06637131	14.38611784	14.09320253
brussels sprouts	brussels_sprouts	brussels sprouts	46	1.931818182	0	2	0	153.4545455	175.25	21.79545455	164.3522727	21.96451106	21.60977922	15.46576045	20.36943091
bubble	bubble	bubble	47	1.795454545	3	0	0	142.8409091	184.5909091	41.75	163.7159091	35.41116837	38.94976979	31.20012299	33.79579541
bubble wrap	bubble_wrap	bubble wrap	45	3.64516129	14	0	0	215.9677419	252.5483871	36.58064516	234.2580645	50.2331125	52.61611839	33.32343939	48.66516053
bucket	bucket	bucket	47	3.956521739	1	0	0	239.2826087	262.1086957	22.82608696	250.6956522	18.66388437	18.00768757	18.91889631	15.71074588
buckle	buckle	buckle	38	2.578947368	0	0	0	175.5263158	197.8947368	22.36842105	186.7105263	24.44932635	18.77432041	13.2081487	20.77278351
buffet	buffet	buffet	46	5.787878788	10	3	0	314.0	346.9090909	32.90909091	330.4545455	36.19996547	39.29644039	19.45566055	36.50607048
